tt0120382,The Truman Show,Peter Weir,8.0,1998
tt0040522,Bicycle Thieves,Vittorio De Sica,8.4,1948
tt0071562,The Godfather: Part II,Francis Ford Coppola,9.1,1974
tt2106476,The Hunt,Thomas Vinterberg,8.3,2012
tt0047396,Rear Window,Alfred Hitchcock,8.6,1954
tt0047528,La Strada,Federico Fellini,8.1,1954
tt0072890,Dog Day Afternoon,Sidney Lumet,8.1,1975
tt0042876,Rashomon,Akira Kurosawa,8.4,1950
tt0107048,Groundhog Day,Harold Ramis,8.1,1993
tt0440963,The Bourne Ultimatum,Paul Greengrass,8.1,2007
tt0268978,A Beautiful Mind,Ron Howard,8.2,2001
tt1187043,3 Idiots,Rajkumar Hirani,8.5,2009
tt0986264,Like Stars on Earth,Aamir Khan,8.5,2007
tt0078748,Alien,Ridley Scott,8.5,1979
tt1392214,Prisoners,Denis Villeneuve,8.1,2013
tt0095765,Cinema Paradiso,Giuseppe Tornatore,8.5,1988
tt0116231,The Bandit,Yavuz Turgul,8.7,1996
tt0080684,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,8.8,1980
tt0032551,The Grapes of Wrath,John Ford,8.2,1940
tt2267998,Gone Girl,David Fincher,8.3,2014
tt0347149,Howl's Moving Castle,Hayao Miyazaki,8.2,2004
tt0816692,Interstellar,Christopher Nolan,8.9,2014
tt0040897,The Treasure of the Sierra Madre,John Huston,8.4,1948
tt0032138,The Wizard of Oz,Victor Fleming,8.1,1939
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,8.5,1964
tt0053604,The Apartment,Billy Wilder,8.4,1960
tt0198781,Monsters Inc.,Pete Docter,8.1,2001
tt0114746,Twelve Monkeys,Terry Gilliam,8.1,1995
tt0050976,The Seventh Seal,Ingmar Bergman,8.3,1957
tt0047478,Seven Samurai,Akira Kurosawa,8.7,1954
tt0361748,Inglourious Basterds,Quentin Tarantino,8.3,2009
tt0114814,The Usual Suspects,Bryan Singer,8.7,1995
tt1201607,Harry Potter and the Deathly Hallows: Part 2,David Yates,8.1,2011
tt0099685,Goodfellas,Martin Scorsese,8.7,1990
tt0055630,Yojimbo,Akira Kurosawa,8.4,1961
tt0081398,Raging Bull,Martin Scorsese,8.3,1980
tt0253474,The Pianist,Roman Polanski,8.5,2002
tt2562232,Birdman,Alejandro Gonzalez Inarritu,8.3,2014
tt0075686,Annie Hall,Woody Allen,8.1,1977
tt0405094,The Lives of Others,Florian Henckel von Donnersmarck,8.5,2006
tt0059578,For a Few Dollars More,Sergio Leone,8.3,1965
tt0401792,Sin City,Frank Miller,8.1,2005
tt0118694,In the Mood for Love,Kar Wai Wong,8.1,2000
tt0172495,Gladiator,Ridley Scott,8.5,2000
tt0068646,The Godfather,Francis Ford Coppola,9.2,1972
tt0266543,Finding Nemo,Andrew Stanton,8.2,2003
tt0057115,The Great Escape,John Sturges,8.3,1963
tt0055031,Judgment at Nuremberg,Stanley Kramer,8.3,1961
tt0044741,Ikiru,Akira Kurosawa,8.4,1952
tt0032976,Rebecca,Alfred Hitchcock,8.2,1940
tt0120815,Saving Private Ryan,Steven Spielberg,8.6,1998
tt0087544,Nausicaa of the Valley of the Wind,Hayao Miyazaki,8.2,1984
tt0060196,The Good the Bad and the Ugly,Sergio Leone,8.9,1966
tt0848228,The Avengers,Joss Whedon,8.2,2012
tt0031679,Mr. Smith Goes to Washington,Frank Capra,8.3,1939
tt0405159,Million Dollar Baby,Clint Eastwood,8.1,2004
tt0025316,It Happened One Night,Frank Capra,8.3,1934
tt0058946,The Battle of Algiers,Gillo Pontecorvo,8.2,1966
tt0097576,Indiana Jones and the Last Crusade,Steven Spielberg,8.3,1989
tt0031381,Gone with the Wind,Victor Fleming,8.2,1939
tt2278388,The Grand Budapest Hotel,Wes Anderson,8.1,2014
tt1220719,Ip Man,Wilson Yip,8.1,2008
tt0468569,The Dark Knight,Christopher Nolan,9.0,2008
tt0051201,Witness for the Prosecution,Billy Wilder,8.5,1957
tt0042192,All About Eve,Joseph L. Mankiewicz,8.4,1950
tt0046268,The Wages of Fear,Henri-Georges Clouzot,8.3,1953
tt0120586,American History X,Tony Kaye,8.6,1998
tt0167404,The Sixth Sense,M. Night Shyamalan,8.2,1999
tt0093058,Full Metal Jacket,Stanley Kubrick,8.4,1987
tt0117951,Trainspotting,Danny Boyle,8.2,1996
tt0056217,The Man Who Shot Liberty Valance,John Ford,8.1,1962
tt0133093,The Matrix,Andy Wachowski,8.7,1999
tt0118715,The Big Lebowski,Joel Coen,8.2,1998
tt0064115,Butch Cassidy and the Sundance Kid,George Roy Hill,8.2,1969
tt0083658,Blade Runner,Ridley Scott,8.2,1982
tt0993846,The Wolf of Wall Street,Martin Scorsese,8.3,2013
tt0084787,The Thing,John Carpenter,8.2,1982
tt0482571,The Prestige,Christopher Nolan,8.5,2006
tt0070511,Papillon,Franklin J. Schaffner,8.1,1973
tt0102926,The Silence of the Lambs,Jonathan Demme,8.6,1991
tt0022100,M,Fritz Lang,8.5,1931
tt0405508,Rang De Basanti,Rakeysh Omprakash Mehra,8.5,2006
tt0103064,Terminator 2: Judgment Day,James Cameron,8.5,1991
tt0338013,Eternal Sunshine of the Spotless Mind,Michel Gondry,8.4,2004
tt0056801,8 1/2,Federico Fellini,8.2,1963
tt0169102,Lagaan: Once Upon a Time in India,Ashutosh Gowariker,8.3,2001
tt0017136,Metropolis,Fritz Lang,8.3,1927
tt0114369,Se7en,David Fincher,8.7,1995
tt0082971,Raiders of the Lost Ark,Steven Spielberg,8.6,1981
tt1454029,The Help,Tate Taylor,8.1,2011
tt0021749,City Lights,Charles Chaplin,8.6,1931
tt0395169,Hotel Rwanda,Terry George,8.2,2004
tt0079470,Life of Brian,Terry Jones,8.2,1979
tt0978762,Mary and Max,Adam Elliot,8.2,2009
tt0052618,Ben-Hur,William Wyler,8.1,1959
tt0110912,Pulp Fiction,Quentin Tarantino,8.9,1994
tt0046911,Diabolique,Henri-Georges Clouzot,8.2,1955
tt0246578,Donnie Darko,Richard Kelly,8.1,2001
tt0116282,Fargo,Joel Coen,8.2,1996
tt0082096,Das Boot,Wolfgang Petersen,8.4,1981
tt0086190,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,8.4,1983
tt0078788,Apocalypse Now,Francis Ford Coppola,8.5,1979
tt0062622,2001: A Space Odyssey,Stanley Kubrick,8.3,1968
tt0073195,Jaws,Steven Spielberg,8.1,1975
tt0457430,Pan's Labyrinth,Guillermo del Toro,8.3,2006
tt0317248,City of God,Fernando Meirelles,8.7,2002
tt0407887,The Departed,Martin Scorsese,8.5,2006
tt0211915,Amelie,Jean-Pierre Jeunet,8.5,2001
tt0119217,Good Will Hunting,Gus Van Sant,8.3,1997
tt0910970,WALL-E,Andrew Stanton,8.5,2008
tt0081505,The Shining,Stanley Kubrick,8.5,1980
tt0096283,My Neighbor Totoro,Hayao Miyazaki,8.3,1988
tt0245712,Amores Perros,Alejandro Gonzalez Inarritu,8.1,2000
tt0012349,The Kid,Charles Chaplin,8.4,1921
tt1853728,Django Unchained,Quentin Tarantino,8.5,2012
tt0050986,Wild Strawberries,Ingmar Bergman,8.3,1957
tt0095016,Die Hard,John McTiernan,8.3,1988
tt0053291,Some Like It Hot,Billy Wilder,8.3,1959
tt0338564,Infernal Affairs,Wai-Keung Lau,8.1,2002
tt0052311,Touch of Evil,Orson Welles,8.2,1958
tt0091763,Platoon,Oliver Stone,8.1,1986
tt1345836,The Dark Knight Rises,Christopher Nolan,8.5,2012
tt0075314,Taxi Driver,Martin Scorsese,8.4,1976
tt0105695,Unforgiven,Clint Eastwood,8.3,1992
tt0083987,Gandhi,Richard Attenborough,8.1,1982
tt0266697,Kill Bill: Vol. 1,Quentin Tarantino,8.1,2003
tt1305806,The Secret in Their Eyes,Juan Jose Campanella,8.3,2009
tt0112471,Before Sunrise,Richard Linklater,8.1,1995
tt0080678,The Elephant Man,David Lynch,8.2,1980
tt0292490,Dil Chahta Hai,Farhan Akhtar,8.4,2001
tt0119488,L.A. Confidential,Curtis Hanson,8.3,1997
tt0364569,Oldboy,Chan-wook Park,8.4,2003
tt0050212,The Bridge on the River Kwai,David Lean,8.3,1957
tt0015864,The Gold Rush,Charles Chaplin,8.3,1925
tt0086879,Amadeus,Milos Forman,8.4,1984
tt1291584,Warrior,Gavin O'Connor,8.2,2011
tt0053198,The 400 Blows,François Truffaut,8.2,1959
tt0036775,Double Indemnity,Billy Wilder,8.4,1944
tt0061512,Cool Hand Luke,Stuart Rosenberg,8.2,1967
tt0074958,Network,Sidney Lumet,8.2,1976
tt0120735,Lock Stock and Two Smoking Barrels,Guy Ritchie,8.2,1998
tt0167261,The Lord of the Rings: The Two Towers,Peter Jackson,8.8,2002
tt1375666,Inception,Christopher Nolan,8.8,2010
tt0110357,The Lion King,Roger Allers,8.5,1994
tt0050825,Paths of Glory,Stanley Kubrick,8.5,1957
tt2015381,Guardians of the Galaxy,James Gunn,8.2,2014
tt0119698,Princess Mononoke,Hayao Miyazaki,8.4,1997
tt1675434,The Intouchables,Olivier Nakache,8.6,2011
tt0071853,Monty Python and the Holy Grail,Terry Gilliam,8.4,1975
tt0120689,The Green Mile,Frank Darabont,8.5,1999
tt0114787,Underground,Emir Kusturica,8.2,1995
tt1255953,Incendies,Denis Villeneuve,8.2,2010
tt0056172,Lawrence of Arabia,David Lean,8.4,1962
tt0363163,Downfall,Oliver Hirschbiegel,8.3,2004
tt0040746,Rope,Alfred Hitchcock,8.1,1948
tt0109830,Forrest Gump,Robert Zemeckis,8.8,1994
tt0027977,Modern Times,Charles Chaplin,8.6,1936
tt0353969,Memories of Murder,Joon-ho Bong,8.1,2003
tt0112573,Braveheart,Mel Gibson,8.4,1995
tt0036868,The Best Years of Our Lives,William Wyler,8.2,1946
tt0435761,Toy Story 3,Lee Unkrich,8.4,2010
tt0107207,In the Name of the Father,Jim Sheridan,8.1,1993
tt0058461,A Fistful of Dollars,Sergio Leone,8.1,1964
tt0209144,Memento,Christopher Nolan,8.5,2000
tt1504320,The King's Speech,Tom Hooper,8.1,2010
tt0041959,The Third Man,Carol Reed,8.3,1949
tt0044706,High Noon,Fred Zinnemann,8.1,1952
tt0208092,Snatch.,Guy Ritchie,8.3,2000
tt0033467,Citizen Kane,Orson Welles,8.4,1941
tt0060827,Persona,Ingmar Bergman,8.2,1966
tt0053125,North by Northwest,Alfred Hitchcock,8.4,1959
tt0056592,To Kill a Mockingbird,Robert Mulligan,8.4,1962
tt0118799,Life Is Beautiful,Roberto Benigni,8.6,1997
tt0054215,Psycho,Alfred Hitchcock,8.6,1960
tt0758758,Into the Wild,Sean Penn,8.2,2007
tt2084970,The Imitation Game,Morten Tyldum,8.2,2014
tt0038787,Notorious,Alfred Hitchcock,8.1,1946
tt0046250,Roman Holiday,William Wyler,8.1,1953
tt0113247,La Haine,Mathieu Kassovitz,8.1,1995
tt0112641,Casino,Martin Scorsese,8.2,1995
tt0167260,The Lord of the Rings: The Return of the King,Peter Jackson,8.9,2003
tt1205489,Gran Torino,Clint Eastwood,8.2,2008
tt0066921,A Clockwork Orange,Stanley Kubrick,8.4,1971
tt0114709,Toy Story,John Lasseter,8.3,1995
tt0105236,Reservoir Dogs,Quentin Tarantino,8.4,1992
tt0892769,How to Train Your Dragon,Dean DeBlois,8.2,2010
tt0038355,The Big Sleep,Howard Hawks,8.1,1946
tt0077416,The Deer Hunter,Michael Cimino,8.2,1978
tt0154420,The Celebration,Thomas Vinterberg,8.1,1998
tt0075148,Rocky,John G. Avildsen,8.1,1976
tt0047296,On the Waterfront,Elia Kazan,8.3,1954
tt1130884,Shutter Island,Martin Scorsese,8.1,2010
tt2582802,Whiplash,Damien Chazelle,8.7,2014
tt1028532,Hachi: A Dog's Tale,Lasse Hallstrom,8.2,2009
tt1049413,Up,Pete Docter,8.3,2009
tt0048424,The Night of the Hunter,Charles Laughton,8.1,1955
tt0088247,The Terminator,James Cameron,8.1,1984
tt0087843,Once Upon a Time in America,Sergio Leone,8.4,1984
tt0073486,One Flew Over the Cuckoo's Nest,Milos Forman,8.7,1975
tt0076759,Star Wars: Episode IV - A New Hope,George Lucas,8.7,1977
tt0434409,V for Vendetta,James McTeigue,8.2,2005
tt0092005,Stand by Me,Rob Reiner,8.1,1986
tt1979320,Rush,Ron Howard,8.2,2013
tt0110413,Leon: The Professional,Luc Besson,8.6,1994
tt0088763,Back to the Future,Robert Zemeckis,8.5,1985
tt0245429,Spirited Away,Hayao Miyazaki,8.6,2001
tt0137523,Fight Club,David Fincher,8.9,1999
tt1954470,Gangs of Wasseypur,Anurag Kashyap,8.6,2012
tt0107290,Jurassic Park,Steven Spielberg,8.0,1993
tt0017925,The General,Clyde Bruckman,8.3,1926
tt0469494,There Will Be Blood,Paul Thomas Anderson,8.1,2007
tt0070735,The Sting,George Roy Hill,8.4,1973
tt0092067,Castle in the Sky,Hayao Miyazaki,8.1,1986
tt0089881,Ran,Akira Kurosawa,8.3,1985
tt1832382,A Separation,Asghar Farhadi,8.4,2011
tt0169547,American Beauty,Sam Mendes,8.4,1999
tt0033870,The Maltese Falcon,John Huston,8.2,1941
tt1065073,Boyhood,Richard Linklater,8.4,2014
tt0034583,Casablanca,Michael Curtiz,8.6,1942
tt0046912,Dial M for Murder,Alfred Hitchcock,8.2,1954
tt0061184,Who's Afraid of Virginia Woolf?,Mike Nichols,8.1,1966
tt0372784,Batman Begins,Christopher Nolan,8.3,2005
tt0083922,Fanny and Alexander,Ingmar Bergman,8.2,1982
tt0061722,The Graduate,Mike Nichols,8.1,1967
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,8.8,2001
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,8.1,2003
tt0032553,The Great Dictator,Charles Chaplin,8.5,1940
tt0052357,Vertigo,Alfred Hitchcock,8.4,1958
tt0043014,Sunset Blvd.,Billy Wilder,8.5,1950
tt0071315,Chinatown,Roman Polanski,8.3,1974
tt0044079,Strangers on a Train,Alfred Hitchcock,8.1,1951
tt0086250,Scarface,Brian De Palma,8.3,1983
tt0050083,12 Angry Men,Sidney Lumet,8.9,1957
tt0113277,Heat,Michael Mann,8.3,1995
tt0079944,Stalker,Andrei Tarkovsky,8.2,1979
tt0064116,Once Upon a Time in the West,Sergio Leone,8.6,1968
tt0090605,Aliens,James Cameron,8.4,1986
tt0093779,The Princess Bride,Rob Reiner,8.2,1987
tt0095327,Grave of the Fireflies,Isao Takahata,8.5,1988
tt0045152,Singin' in the Rain,Stanley Donen,8.4,1952
tt0101414,Beauty and the Beast,Gary Trousdale,8.1,1991
tt2024544,12 Years a Slave,Steve McQueen,8.2,2013
tt0108052,Schindler's List,Steven Spielberg,8.9,1993
tt0111161,The Shawshank Redemption,Frank Darabont,9.3,1994
tt0038650,It's a Wonderful Life,Frank Capra,8.7,1946
tt0477348,No Country for Old Men,Ethan Coen,8.1,2007
tt0180093,Requiem for a Dream,Darren Aronofsky,8.4,2000
tt0072684,Barry Lyndon,Stanley Kubrick,8.1,1975
tt0054997,The Hustler,Robert Rossen,8.1,1961
tt1877832,X-Men: Days of Future Past,Bryan Singer,8.1,2014
